english;spanish;french;italian;german;japanese;chinese
Gudetama Leg Suit;Traje Piernas Gudetama;Cuissard Gudegude;Gudetama Leg Suit;Gudetama Beinanzug;ニセたま脚スーツ;
Promising Sabatons;Grebas halagüeñas;Hakama cosmique;Balze promettenti;Potenzial-Hakama;瑞星【具足】;
Halcyon Sabatons;Grebas halcyon;Hakama Halcyon;Balze eccelse;Halcyon-Hakama;景星【具足】;
Lucid Pleats;Grebas lúcidas;Hakama des étoiles;Schinieri lucidi;Licht-Hakama;夢見【具足】;
Dreamy Pleats;Grebas etéreas;Hakama des rêves;Schinieri da sogno;Traum-Hakama;夢語【具足】;
Gudetama Leg Tights S;Malla Piernas Gudetama S;Grèves Gudegude S;Gudetama Leg Tights S;Gudetama Beine S;ニセたまＳ脚タイツ;
Gudetama Leg Suit S;Traje Piernas Gudetama S;Cuissard Gudegude S;Gudetama Leg Suit S;Gudetama Beinanzug S;ニセたまＳ脚スーツ;
Booyah Jeans;Tejanos de Booyah;Jean Boya Haru;Jeans Bouya;Booyah-Jeans;坊屋ジーンズ;
Booyah Denim;Vaqueros de Booyah;Denim Boya Haru;Pantaloni Bouya;Booyah-Denim-Jeans;坊屋デニム;
Black Leather Chaps;Perneras cuero negro;Jambes cuir noir;Gambali pelle nera;Schwarze Überhose;ブラックレザーレグス;
Black Leather Pants;Pantalón cuero negro;Pantalon cuir noir;Braghe pelle nera;Schwarze Lederhose;ブラックレザーパンツ;
Pirate Boots J;Botas de pirata J;Bottes du pirate J;Stivali Captain J;Piratenstiefel J;海賊Ｊブーツ;
Pirate Pants J;Pantalones de pirata J;Pantalon du pirate J;Pantaloni Captain J;Piratenhose J;海賊Ｊパンツ;
Star Knight Greaves;Grebas caball. estelar;Grèves Star Knight;Stivali notte di st.;SternenritterBeinschn;スターナイトグリーヴ;
Star Knight Leggings;Calzas caball. estelar;Cuissard Star Knight;Piedi notte di stelle;SternenritterGamaschn;スターナイトレギンス;
Dynaqlo Cargo Pants;Pantalones Dynaqlo;Cargo Dynaqlo;Pantaloni Dynaqlo;Dynaqlo-Cargohose;ライクロカーゴパンツ;
Dynaqlo Combats;P. militar Dynaqlo;Treillis Dynaqlo;Cargo Dynaqlo;Dynaqlo-Camohose;ライクロカットパンツ;
Buccaneer Boots J;Botas bucanero J;Bottes du boucanier J;Stivali Buccaneer J;Bukanierstiefel J;大海賊Ｊブーツ;
Buccaneer Pants J;Pantalones bucanero J;Pantalon du boucanier J;Pantaloni Buccaneer J;Bukanierhose J;大海賊Ｊパンツ;
Blue Star Boots;Botas estrella azul;Bottes Étoile bleue;Stivali Blue Star;Blauer-Stern-Stiefel;ブルースターブーツ;
Blue Star Footwear;Calz. estrella azul;Chaussures Étoile bleue;Calzature Blue Star;BlauerSternSchuhwerk;ブルースターフット;
Varia Suit Leg Guards;Grebas Climáticas;Jambières Varia;Paragambe Termotuta;Varia-Suit-Beinschutz;バリアスーツレガース;
Varia Suit Legs;Perneras Climáticas;Coquille Varia;Gambe Termotuta;Varia-Suit-Beine;バリアスーツシェル;
Zero Suit Boots;Botas del Traje Zero;Bottes Zéro;Stivali Tuta Zero;Zero-Suit-Stiefel;ゼロスーツブーツ;
Zero Suit Tights;Leotardos del Traje Zero;Collant Zéro;Calzamaglia Tuta Zero;Zero-Suit-Strumpfhose;ゼロスーツタイツ;
Promising Archpleats;Archigreb. halagüeñas;Hakama cosmique H;Arcibalze promettenti;Potenzial-Hakama K;瑞星・覇【具足】;
Halcyon Archpleats;Archigrebas halcyon;Hakama Halcyon H;Arcibalze eccelse;Halcyon-Hakama K;景星・覇【具足】;
Lucid Archpleats;Archigrebas lúcidas;Hakama des étoiles H;Arcibalze lucide;Licht-Hakama K;夢見・覇【具足】;
Dreamy Archpleats;Archigrebas etéreas;Hakama des rêves H;Arcibalze da sogno;Traum-Hakama K;夢語・覇【具足】;
Star Rook Greaves;Grebas luz estelar;Grèves Star Rook;Schin. delle stelle;SternlichtBeinschien;スタールークグリーヴ;
Star Rook Leggings;Calzas luz estelar;Cuissard Star Rook;Gambali delle stelle;Sternlicht-Gamaschen;スタールークレギンス;
Hero's Boots;Botas del héroe;Bottes du Héros;Stivali dell'eroe;Heroenstiefel;勇者の靴;
Hero's Leggings;Calzas del héroe;Jambières du Héros;Gambali dell'eroe;Heroengamaschen;勇者の具足;
Champion's Shorts;Calzon. de campeón;Short du champion;Pantaloncini campione;Champion-Shorts;王者のレッグロック;
Strongman's Shorts;Calzon. de forzudo;Short du colosse;Pant. energumeno;Muskelmann-Shorts;強者のレッグロック;
Greaves of Rage;Grebas de ira;Grèves hérétiques;Schinieri rabbia;Beinschienen der Wut;グリーヴオブレイジ;
Leggings of Rage;Calzas de ira;Cuissard hérétique;Gambali rabbia;Gamaschen der Wut;レギンスオブレイジ;
Greaves of Anat;Grebas de Anat;Grèves Anat;Schinieri Anat;Beinschienen der Anat;グリーヴオブアナト;
Leggings of Anat;Calzas de Anat;Cuissard Anat;Gambali Anat;Gamaschen der Anat;レギンスオブアナト;
Zodias Greaves;Grebas de Zodias;Grèves Zodias;Schinieri Zodias;Zodias-Beinschienen;ゾディアスグリーヴ;
Zodias Leggings;Calzas de Zodias;Cuissard Zodias;Gambali Zodias;Zodias-Gamaschen;ゾディアスレギンス;
Ultimate Pleats;Grebas definitivas;Hakama omnipotent;Balze onnipotenti;Allmächtiger Hakama;地上最強の袴;
Ultimate Walkers;Andador definitivo;Pantalon omnipotent;Pantaloni onnipotenti;AllmächtigesBeinkld;地上最強の下衣;
Hiryu Sky Boots;Botas Hiryu cielo;Tabi Hiryu - Ciel;Stiv. Hiryu cielo;Hiryu-Tabi Luft;飛竜の足袋・空;
Hiryu Land Boots;Botas Hiryu tierra;Tabi Hiryu - Terre;Stiv. Hiryu terra;Hiryu-Tabi Land;飛竜の足袋・地;
Lodestar Greaves;Grebas Polaris;Chaussures du Guide;Schinieri Lord supremo;SternenlordBeinschien;スターロードグリーヴ;
Lodestar Boots;Botas Polaris;Bottes du Guide;Stivali Lord supremo;Sternenlord-Stiefel;スターロードブーツ;
